FAMILIA;VHLO;CONDUCTOR;FAMILIA AVERIA;DEFICIENCIAS DETECTADAS;DESCRIPCIÓN AVERIA;FOTO;FECHA AVISO;FECHA DISTINTA AVISO;TURNO;Nº AVISO;AVISO CREADO SI / NO;ORIGEN AVISO;TIPO ORDEN
Barr. medianas aspiración SIN pértiga;1561;;;;1561 GRUA;NO;26/02/2026;;M;6000832614;SI;P. ESTE;L06
Hidrolimpiadores;1717;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1717.TN-RUEDA TRASERA IZQ PINCH;NO;26/02/2026;;N;6000832596;SI;P. ESTE;L06
Brigadas Cabina Simple;430;;CABINA;PUERTA;430.TN-PUERTA DERECHA NO CIERRA;NO;26/02/2026;;N;6000832595;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1567;;SISTEMA;CEPILLO;1567.TN-CEPILLO NO BAJA;NO;26/02/2026;;N;6000832594;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1546;;SISTEMA;HUMECTACIÓN;1546.TN-FALLO HUMECTACION;NO;26/02/2026;;N;6000832592;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1533;;SISTEMA;HUMECTACIÓN;1533.TN-FALLO HUMECTACION;NO;26/02/2026;;N;6000832591;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1555;;MOTOR;NO ARRANCA;1555.- NO ARRANCA;NO;26/02/2026;;M;6000832783;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;1411;;MOTOR;TESTIGO EN CUADRO;1411.TESTIGO ENCENDIDO;NO;26/02/2026;;M;6000832748;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1534;;CARROCERIA;NO CIERRA PORTÓN;1534 PORTALON TRASERO NO CIERRA;NO;26/02/2026;;M;6000832720;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;1407;;MOTOR;REFRIGERACIÓN;1407 TUBO RADIADOR;NO;26/02/2026;;M;6000832695;SI;P. PRINCIPES;L06
Baldeadoras alta presión;1658;;SISTEMA;BOMBA AGUA BALDEO;BOMBA NO FUNCIONA;NO;26/02/2026;;M;6000832683;SI;P. PRINCIPES;L06
Baldeadoras alta presión;1658;;SISTEMA;BOMBA AGUA BALDEO;1658 BOMBA DE AGUA SE PARA;NO;26/02/2026;;M;6000832681;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;587;;SISTEMA;TOMA DE FUERZA;587-PP.CON SISTEMA DE TRABAJO PUESTO;NO;26/02/2026;;M;6000832668;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;587;;CARROCERIA;PUERTA;587-PP.FALTA TENSOR PUERTA DERECHA;NO;26/02/2026;;M;6000832667;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;587;;SISTEMA;TOMA DE FUERZA;587-PP.NO ENTRA TOMA DE FUERZA;NO;26/02/2026;;M;6000832653;SI;P. PRINCIPES;L06
Turismos Supervisión Capataces;1021;;LIMPIEZA;LIMPIEZA INTERIOR;1021-PP.LIMPIEZA INTERIOR Y EXTERIOR;NO;26/02/2026;;M;6000832652;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;553;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;553 ROCE LATERAL;NO;26/02/2026;;M;6000832649;SI;P. PRINCIPES;L05
Barr. medianas aspiración CON pértiga;572;;SISTEMA;CIRCUITO AGUA;572 PIERDE TODA EL AGUA;NO;26/02/2026;;M;6000832646;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;1580;;SISTEMA;CEPILLO;1580 CEPILLOS CORTOS;NO;26/02/2026;;M;6000832645;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1534;;LUCES;PILOTO;1534 PILOTO DERECHO TRASERO;NO;26/02/2026;;M;6000832644;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;403;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;403 CIERRE DEL PORTALON ROTO;NO;26/02/2026;;M;6000832642;SI;P. PRINCIPES;L05
Baldeadoras alta presión;1653;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1653-PP.GOLPE EN PERTIGA;NO;26/02/2026;;M;6000832622;SI;P. PRINCIPES;L05
Brigadas Cabina Simple;433;;TRANSMISIÓN;EMBRAGUE;433-PP.SIN EMBRAGUE;NO;26/02/2026;;M;6000832621;SI;P. PRINCIPES;L06
Baldeadoras;621;;SISTEMA;POCA PRESION;621.TN-SIN PRESION;NO;26/02/2026;;N;6000832598;SI;P. PRINCIPES;L06
Baldeadoras;621;;CABINA;ESPEJO / RETROVISOR;621.TN-RETROVISOR SUELTO;NO;26/02/2026;;N;6000832597;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1552;;MOTOR;MOTOR SE CALIENTA;1552.TN-SE CALIENTA;NO;26/02/2026;;N;6000832593;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1534;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1534.TN-GOLPE PILOTO TRASERO DER;NO;26/02/2026;;N;6000832590;SI;P. PRINCIPES;L05
Barr. medianas aspiración SIN pértiga;1538;;SISTEMA;CEPILLO;1538.TN-CEPILLOS GASTADOS;NO;26/02/2026;;N;6000832589;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;1419;;CARROCERIA;CAJA;1419_TT_CAJON GUARDATOLDO ROTO;NO;26/02/2026;;T;6000832785;SI;P. TORNEO;L06
Hidrolimpiadores;1714;;SISTEMA;POCA PRESION;1714 P.T SIN BATERIA EN EQUIPO;NO;26/02/2026;;T;6000832772;SI;P. TORNEO;L06
Minibaldeadoras eléctricas;976;;CABINA;ESPEJO / RETROVISOR;976_TT_RESTROVISOR IXQUIERDO ROTO;NO;26/02/2026;;T;6000832768;SI;P. TORNEO;L06
Brigadas Cabina Simple;1413;;MOTOR;TESTIGO ACEITE;1413_TT_TESTIGO ACEITE;NO;26/02/2026;;T;6000832756;SI;P. TORNEO;L06
Hidrolimpiadores;1724;;SISTEMA;ELECTRICA / ELECTRONICA;1724_TT_EQUIPO NO FUNCIONA;NO;26/02/2026;;T;6000832746;SI;P. TORNEO;L06
Barr. medianas aspiración SIN pértiga;555;;SISTEMA;CEPILLO;555. CEPILLOS GASTADOS;NO;26/02/2026;;T;6000832740;SI;P. TORNEO;L06
Brigadas Cabina Simple;1417;;CARROCERIA;CAJA;1417_TT_CAJON TOLDO ROTO;NO;26/02/2026;;T;6000832739;SI;P. TORNEO;L06
Barr. medianas aspiración CON pértiga;542;;SISTEMA;CEPILLO;542-P.E CEPILLO DERECHO GASTADO;NO;26/02/2026;;M;6000832673;SI;P. TORNEO;L06
Vehículos Quitaceras;630;;CARROCERIA;CAJA;630 PT.ROTULA IZQ.BARRA ACOPLAMIENTO;NO;26/02/2026;;M;6000832672;SI;P. TORNEO;L06
Barr. medianas aspiración SIN pértiga;559;;CABINA;ESPEJO / RETROVISOR;559-PN-ESPEJO SUPERIOR ROTO;NO;26/02/2026;;M;6000832669;SI;P. NORTE;L06
Barr. medianas aspiración SIN pértiga;1549;;MOTOR;TESTIGO FALLO MOTOR;1549-PN TESTIGO FALLO MOTOR ENCENDIDO;NO;26/02/2026;;M;6000832659;SI;P. NORTE;L06
Motocarros eléctricos;926;;LUCES;LUZ CABINA;926-PN LUZ DE CABINA FUNDIDA.;NO;26/02/2026;;M;6000832656;SI;P. NORTE;L06
Motocarros eléctricos;926;;LUCES;LUZ FUNDIDA;926-PN LUZ DELANTERA IZDA. FUNDIDA.;NO;26/02/2026;;M;6000832655;SI;P. NORTE;L06
Motocarros eléctricos;926;;LUCES;INTERMITENTE;926-PN INTERMITENTE IZDO. TRASERO NO;NO;26/02/2026;;M;6000832654;SI;P. NORTE;L06
Barr. medianas aspiración SIN pértiga;556;;SISTEMA;CEPILLO;556-PN CEPILLO DERECHO CORTO;NO;26/02/2026;;M;6000832651;SI;P. NORTE;L06
Barr. medianas aspiración CON pértiga;549;;MOTOR;PERDIDA DE AD-BLUE;GAR_549 PÉRDIDA DE AD-BLUE;NO;26/02/2026;;M;6000832648;SI;P. TORNEO;L06
Motocarros eléctricos;1841;;CARROCERIA;BASCULANTE;1841.TM.FINAL CARRERA PATA IZQUIERDA;NO;26/02/2026;;M;6000832647;SI;P. TORNEO;L06
Motocarros eléctricos;1828;;CABINA;PUERTA;1828.TM.PESTILLO ROTO PUERTA IZQUIERDA;NO;26/02/2026;;M;6000832643;SI;P. TORNEO;L06
Barr. medianas aspiración SIN pértiga;1532;;SISTEMA;BOCA ASPIRACIÓN;1532.TN-CRISTAL BOCA ROTO;NO;26/02/2026;;N;6000832588;SI;P. TORNEO;L06
Baldeadoras;627;;LUCES;LUZ MATRÍCULA;627.TN-NO FUNCIONA LUZ MATRICULA TRASERA;NO;26/02/2026;;N;6000832587;SI;P. TORNEO;L06
Baldeadoras;632;;SISTEMA;CARRETE / PERTIGA / PISTOLA;632.TN-PERDIDA AGUA POR CARRETE;NO;26/02/2026;;N;6000832586;SI;P. TORNEO;L06
Baldeadoras;604;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;604.TN-RUIDO AL CIRCULAR;NO;26/02/2026;;N;6000832585;SI;P. TORNEO;L06
Baldeadoras;604;;MOTOR;TESTIGO EN CUADRO;604.TN-TESTIGO EN CUADRO;NO;26/02/2026;;N;6000832584;SI;P. TORNEO;L06
Barr. medianas aspiración CON pértiga;551;;SISTEMA;CEPILLO;551.TN-AJUSTAR CEPILLOS;NO;26/02/2026;;N;6000832583;SI;P. TORNEO;L06
Barr. medianas aspiración CON pértiga;549;;MOTOR;PERDIDA DE AD-BLUE;549.TN-PERDIDA DE AD-BLUE;NO;26/02/2026;;N;6000832582;SI;P. TORNEO;L06
Barr. medianas aspiración CON pértiga;549;;SISTEMA;CARRETE / PERTIGA / PISTOLA;549.TN-SIN PRESION EN PERTIGAS;NO;26/02/2026;;N;6000832581;SI;P. TORNEO;L06
;;;;;;;;;;;SI;;
Motocarros;811;;CABINA;CLUSTER / CUADRO;811. NO FUNCIONAN VELOCÍMETRO...;NO;25/02/2026;;M;6000832577;SI;P. ESTE;L06
Brigadas Cabina Simple;1400;;CABINA;AIRE ACONDIC/CALEFACCIÓN;1400. A/A NO FUNCIONA;NO;25/02/2026;;M;6000832576;SI;P. ESTE;L06
Brigadas Cabina Simple;1400;;MOTOR;TESTIGO FALLO MOTOR;1400. TESTIGO MOTOR ENCENDIDO;NO;25/02/2026;;M;6000832575;SI;P. ESTE;L06
Brigadas Cabina Simple;1408;;MOTOR;MOTOR SE CALIENTA;1408. HUELE A QUEMADO;NO;25/02/2026;;M;6000832566;SI;P. ESTE;L06
Brigadas Cabina Doble;459;;LUCES;GALIBO;459 TE LUZ DE GALIBO NO FUNCIONA;NO;25/02/2026;;M;6000832558;SI;P. ESTE;L06
Brigadas Cabina Doble;459;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;459 TE AUXILIAR RUEDA TRASERA PINCHADA;NO;25/02/2026;;M;6000832557;SI;P. ESTE;L06
Brigadas Cabina Simple;404;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;404. FALTA CARCASA GIRATORIO;NO;25/02/2026;;M;6000832550;SI;P. ESTE;L06
Brigadas Cabina Simple;404;;LUCES;INTERMITENTE;404. INTERMITENTE TRASERO IZQUIERDO...;NO;25/02/2026;;M;6000832549;SI;P. ESTE;L06
Brigadas Cabina Simple;1402;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1402. RUEDA DELANTERA DERECHA PINCHADA;NO;25/02/2026;;M;6000832548;SI;P. ESTE;L06
Hidrolimpiadores;753;;MOTOR;PERDIDA ANTICONGELANTE;753. ANTICONGELANTE BAJO;NO;25/02/2026;;M;6000832547;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1531;;CARROCERIA;CAJA;1531 TE NO SUBE LA CAJA;NO;25/02/2026;;M;6000832542;SI;P. ESTE;L06
Brigadas Cabina Simple;1403;;RUEDAS ;RUEDA GASTADA;1403. DESGASTE ANORMAL RUEDA ...;NO;25/02/2026;;M;6000832540;SI;P. ESTE;L06
Brigadas Cabina Simple;1403;;MOTOR;ELECTRICA / ELECTRONICA;1403. FALLO ELÉCTRICO;NO;25/02/2026;;M;6000832539;SI;P. ESTE;L06
Vehículo Auxiliar Parques;1700;;MOTOR;NIVEL ACEITE MOTOR;1700. RELLENAR NIVEL ACEITE;NO;25/02/2026;;M;6000832538;SI;P. ESTE;L06
Brigadas Cabina Doble;453;;MOTOR;NO ARRANCA;453. NO ARRANCA;NO;25/02/2026;;M;6000832537;SI;P. ESTE;L06
Brigadas Cabina Simple;1414;;RUEDAS ;RUEDA GASTADA;PSP-1414 RUEDA DELANT. IZQ. GASTADA;NO;25/02/2026;;M;6000832514;SI;P. SAN PABLO;L06
Brigadas Cabina Simple;1414;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;PSP-1414 RUEDA DELANT. DERECHA PINCHADA;NO;25/02/2026;;M;6000832513;SI;P. SAN PABLO;L06
Brigadas Cabina Simple;1422;;CABINA;ASIENTO;1422 REPARAR TAPIZADO ASIENTO DOBLE;NO;25/02/2026;;M;6000832511;SI;P. ESTE;L06
Motocarros;838;;HIDRAULICA;DEPOSITO HIDRÁULICO;838 PE FALTA TAPON HIDRAULICO;NO;25/02/2026;;M;6000832509;SI;P. ESTE;L06
Barredoras medianas arrastre;523;;SISTEMA;CEPILLO;523 PE CEPILLO CENTRAL NO SUBE/ BAJA;NO;25/02/2026;;M;6000832496;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1543;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1543-RUEDA DELANTERA DERECHA PINCHADA;NO;25/02/2026;;M;6000832495;SI;P. ESTE;L06
Turismos Supervisión Capataces;1049;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;1049. PINCHADA RUEDA TRASERA;NO;25/02/2026;;M;6000832490;SI;P. ESTE;L06
Barr. medianas aspiración CON pértiga;540;;SISTEMA;NO DESCARGA / NO BASCULA;540-NO DESCARGA;NO;25/02/2026;;M;6000832489;SI;P. ESTE;L06
Motocarros eléctricos;1824;;CARROCERIA;BRISAGRA / PESTILLO;PSP-1824 BISAGRAS PUERTA CONDUCTOR;NO;25/02/2026;;M;6000832486;SI;P. SAN PABLO;L06
Brigadas Cabina Simple;1412;;MOTOR;NO ARRANCA;1412. NO ARRANCA;NO;25/02/2026;;M;6000832480;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1541;;CABINA;AIRE ACONDIC/CALEFACCIÓN;1541. NO ENFRIA EL AIRE ACONDICIONADO;NO;25/02/2026;;M;6000832478;SI;P. ESTE;L06
Turismos Supervisión Capataces;1065;;MANTENIMIENTO;MANTENIMIENTO;1065-P.E TESTIGO MANTENIMIENTO ENCENDIDO;NO;25/02/2026;;M;6000832467;SI;P. ESTE;L06
Brigadas Cabina Simple;1426;;LUCES;LUZ MATRÍCULA;1426-P.E LUZ MATRICULA FUNDIDA;NO;25/02/2026;;M;6000832453;SI;P. ESTE;L06
Motocarros;811;;MOTOR;TESTIGO EN CUADRO;811-P.E TESTIGOS ENCENDIDOS EN CUADRO;NO;25/02/2026;;M;6000832452;SI;P. ESTE;L06
Brigadas Cabina Simple;1408;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;1408-P.E ALAETA DERECHA CON GOLPE;NO;25/02/2026;;M;6000832451;SI;P. ESTE;L05
Barr. medianas aspiración SIN pértiga;1566;;LUCES;LUZ CABINA;1566-P.E LUZ CABINA NO FUNCIONA;NO;25/02/2026;;M;6000832449;SI;P. ESTE;L06
Barr. medianas aspiración CON pértiga;536;;MOTOR;NIVELES VARIOS;536-P.E REVISION DE NIVELES;NO;25/02/2026;;M;6000832447;SI;P. ESTE;L06
Barr. medianas aspiración CON pértiga;536;;HIDRAULICA;NIVEL HIDRÁULICO ;536-P.E FALTA HIDRAULICO;NO;25/02/2026;;M;6000832445;SI;P. ESTE;L06
Brigadas Cabina Doble;452;;MOTOR;TESTIGO EN CUADRO;452.TN.TESTIGO EN CUADRO;NO;25/02/2026;;N;6000832414;SI;P. ESTE;L06
Brigadas Cabina Doble;447;;CARROCERIA;GOLPE / ROTURA / SINIESTRO;447.TN. BARANDILLA SUELTA;NO;25/02/2026;;N;6000832413;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1533;;CARROCERIA;TAILGATE / PORTÓN;1533.TN. PORTON NO CIERRA;NO;25/02/2026;;N;6000832412;SI;P. ESTE;L06
Barr. medianas aspiración SIN pértiga;1541;;MOTOR;MOTOR SE CALIENTA;1541.TN. SE CALIENTA;NO;25/02/2026;;N;6000832410;SI;P. ESTE;L06
Barr. medianas aspiración CON pértiga;536;;SISTEMA;HUMECTACIÓN;536.TN.FALLO HUMENTACION;NO;25/02/2026;;N;6000832409;SI;P. ESTE;L06
;;;;;;;;;;;;;
TURISMOS / FURGONETAS;1032;;MOTOR;TESTIGO FALLO MOTOR;1032.TESTIGO MOTOR;NO;25/02/2026;;M;6000832529;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1536;;SISTEMA;BOCA ASPIRACIÓN;1536-TUBO DE PLACA EYECTORA ROTO;NO;25/02/2026;;M;6000832522;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;561;;CABINA;ESPEJO / RETROVISOR;561-PP.ESPEJO DERECHO BAJO ROTO;NO;25/02/2026;;M;6000832518;SI;P. PRINCIPES;L05
Barredoras pequeñas aspiración;1582;;MOTOR;CLAXON / AVISADOR;1582-PP.CLAXON NO FUNCIONA;NO;25/02/2026;;M;6000832517;SI;P. PRINCIPES;L06
Motocarros eléctricos;931;;LUCES;INTERMITENTE;931-PP.INTERMITENTES FALLAN A VECES;NO;25/02/2026;;M;6000832516;SI;P. PRINCIPES;L06
Motocarros eléctricos;931;;LUCES;GALIBO;931-PP.GALIBO FALLA A VECES;NO;25/02/2026;;M;6000832515;SI;P. PRINCIPES;L06
Hidrolimpiadores;748;;MOTOR;NO ARRANCA;748-PP.NO ARRANCA;NO;25/02/2026;;M;6000832503;SI;P. PRINCIPES;L06
Barr. medianas aspiración SIN pértiga;1565;;SISTEMA;HUMECTACIÓN;1565-PP.HUMECTACION NO FUNCIONA;NO;25/02/2026;;M;6000832484;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;599;;CABINA;HOROMETRO ;599-PP.HOROMETRO NO FUNCINA;NO;25/02/2026;;M;6000832483;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;599;;CARROCERIA;CÁMARA;599-PP.CAMARA NO FUNCIONA;NO;25/02/2026;;M;6000832482;SI;P. PRINCIPES;L06
Barredoras pequeñas aspiración;599;;SISTEMA;CEPILLO;599-PP.CEPILLO DERECHO SE HA SALIDO DEL;NO;25/02/2026;;M;6000832481;SI;P. PRINCIPES;L06
Vehículo Taller Príncipes;797;;MANTENIMIENTO;MANTENIMIENTO;ADM_797_REPARACION GENERAL;NO;25/02/2026;;M;6000832476;SI;P. PRINCIPES;L06
Hidrolimpiadores;751;;MOTOR;MOTOR DE ARRANQUE;751 LA PUSO EN SUELO DE TIERRA;NO;25/02/2026;;M;6000832474;SI;P. PRINCIPES;L06
Motocarros;827;;RUEDAS ;NEUMÁTICO PINCHADO / BAJO ;827 RUEDA DELAN.DERECHA;NO;25/02/2026;;M;6000832466;SI;P. PRINCIPES;L06
Hidrolimpiadores;747;;CABINA;MONITOR / PANTALLA;747-PP.TABLET ROTA;NO;25/02/2026;;M;6000832458;SI;P. PRINCIPES;L05
Hidrolimpiadores;747;;MOTOR;TESTIGO FALLO MOTOR;747-PP.TESTIGO MOTOR ENCENDIDO;NO;25/02/2026;;M;6000832457;SI;P. PRINCIPES;L06
Barr. medianas aspiración CON pértiga;572;;CABINA;PUERTA;572 NO ABRE NI CIERRA LAS PUERTAS;NO;25/02/2026;;M;6000832450;SI;P. PRINCIPES;L06
Motocarros;828;;HIDRAULICA;NIVEL HIDRÁULICO ;BAJA ACEITE HIDRAUILO;NO;25/02/2026;;M;6000832448;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;402;;CABINA;EXTINTOR;402 EXTINTOR CARGA BAJA;NO;25/02/2026;;M;6000832446;SI;P. PRINCIPES;L06
Brigadas Cabina Simple;403;;MOTOR;TESTIGO EN CUADRO;403 ENCIENDE LUZ ROJA EDC;NO;25/02/2026;;M;6000832444;SI;P. PRINCIPES;L06
Hidrolimpiadores;759;;HIDRAULICA;PERDIDA DE HIDRÁULICO;759 PIERDE HIDRAULICO;NO;25/02/2026;;M;6000832443;SI;P. PRINCIPES;L06
